objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
24093,CENTRO DE AYUDA SOCIAL Y REINSERCIÓN EL SALVADOR,,,003414,3,Test Admin,3,29850,3,,963714667,{8B2244CA-2FBD-46CB-8733-A933B81B50E3},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24094,AESED. ASOCIACIÓN ESPAÑOLA DE ESTUDIOS EN DROGODEPENDENCIAS,,,009464,3,Test Admin,3,59610,20,,963406550,{D40B5CEC-8EBF-47C8-8AE1-4F7170BE3B9D},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24095,COLECTIVO BENJAMÍN MEJÍAS,725237.681,4372776.647,003326,3,ssociales,3,51210,5,,961051887,{029A12E9-49D7-4323-9FFD-3ECACB2D23B0},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24096,COMISIÓN DIOCESANA DE ACCIÓN SOCIAL,725859.63,4372714.075,003491,3,ssociales,3,7650,12,,963158219,{A613838F-8746-488D-A88F-0C6E62594582},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24097,ONGD GRUPO SOLIDARIDAD CON LA REPÚBLICA DEMOCRÁTICA DEL CONGO,726526.412,4373116.161,009658,3,ssociales,3,41260,13,,963623689,{653E4C60-A517-4C14-A72D-E5EE13AEFF5E},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24098,RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES ALBALAR,724752.337,4372202.223,009664,3,ssociales,3,5550,32,,961577303,{95295118-4B3D-4C92-BA67-088B0651A55F},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24099,RESIDENCIA PARA PERSONAS MAYORES DEPENDIENTES CENTRO DE MAYORES EL SALER,727310.85,4370241.73,009665,3,ssociales,3,81385,20,,963335330,{8819E209-90BD-4B55-8220-6DFB134B25B3},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24100,APNAV. ASOCIACIÓN VALENCIANA DE PADRES DE AUTISTAS,723328.262,4371290.904,009481,3,u10541,3,73920,67,,961362525,{007C3927-2F5D-4435-A883-143EDF6868DA},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24101,ASOCIACIÓN BENEFICA LA MANO QUE AYUDA,725740.773,4374630.653,010176,3,u10541,3,53640,7,,963849870,{FB4B33A9-26CD-4D5F-93B9-6403ED99A53E},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24102,ASOCIACION CARENA. APOYO PSICOLÓGICO EN EL CÁNCER.,725676.922,4372754.554,010199,3,u10541,3,72270,18,,963923898,{E4BCFF66-6F22-4041-9466-38ACBDA06BFC},ADM_GIS,20220908104230,ADM_GIS,20230108095318
